metric,mean,sd,se,ci95_lower,ci95_upper,n_seeds
MSE,10.607139610813945,0.5272716303599582,0.23580304161840165,10.144965649241879,11.069313572386012,5
RMSE,3.256063834523951,0.08052884824032265,0.03601359576302515,3.1854771868284217,3.3266504822194802,5
MAE,2.061988361714537,0.0889403192090285,0.03977531993838361,1.984028734635305,2.139947988793769,5
R2,0.8637469915600422,0.006773017848123985,0.0030289856642449152,0.8578101796581221,0.8696838034619623,5
best_val_loss,10.786082399291992,0.4977154430221687,0.2225851128097985,10.349815578184787,11.222349220399197,5
