metric,mean,sd,se,ci95_lower,ci95_upper,n_seeds
MSE,0.26312514755647565,0.006837453111596971,0.003057801990099656,0.2571318556558803,0.269118439457071,5
RMSE,0.5129227089020004,0.006656035711041719,0.002976669662111086,0.5070884363642627,0.5187569814397381,5
MAE,0.4041202434151033,0.005992197117501393,0.002679792017862282,0.3988678510600932,0.40937263577011335,5
R2,0.6559013195745386,0.008941595339786005,0.003998803001411367,0.6480636656917723,0.6637389734573048,5
best_val_loss,0.25205822384522003,0.007279516737536051,0.003255498853695621,0.24567744609197661,0.25843900159846345,5
