metric,mean,sd,se,ci95_lower,ci95_upper,n_seeds
MSE,0.007624359530328482,0.00033143125871746247,0.00014822056487211316,0.00733384722317914,0.007914871837477824,5
RMSE,0.08730117141604346,0.0018924189926776142,0.0008463155019077644,0.08564239303230424,0.08895994979978268,5
MAE,0.06811076966371551,0.0013585951124094435,0.0006075822050492967,0.0669199085418189,0.06930163078561213,5
R2,0.6648760004417926,0.014567855641931107,0.006514943100352358,0.6521067119651021,0.6776452889184832,5
best_val_loss,0.007039615287919717,0.00024837741229894535,0.00011107775559518682,0.00682190288695315,0.007257327688886283,5
