metric,mean,sd,se,ci95_lower,ci95_upper,n_seeds
MSE,2624.1080930549465,12.604181560820003,5.636761354148585,2613.0600408008154,2635.1561453090776,5
RMSE,51.22593088592578,0.12297319475006567,0.05499528457429342,51.118140128160164,51.33372164369139,5
MAE,38.1556149340982,0.1321459972445247,0.05909748655865142,38.039783860443244,38.27144600775316,5
R2,0.02559661225093841,0.004680278699331002,0.002093084265069684,0.02149416709140183,0.02969905741047499,5
best_val_loss,2632.8490636592287,1.6956181738569227,0.7583035001256272,2631.3627887989824,2634.335338519475,5
