MSE,RMSE,MAE,R2,seed,best_val_loss,best_epoch
2616.8583368621426,51.15523762883076,38.09242621183288,0.0282886457892364,0,2631.9434059197956,47
2614.3750780086907,51.130960073214844,38.05710610028709,0.02921074798688028,1,2632.183591115389,42
2613.661711629136,51.12398372221335,38.031919582145974,0.029475640511233303,2,2631.792802769503,42
2636.6258127383207,51.34808480107433,38.29030022965882,0.020948439220774495,3,2632.4789933678057,42
2639.019526036443,51.37138820429562,38.306322546566236,0.020059587746567575,4,2635.846525123651,39
