metric,mean,sd,se,ci95_lower,ci95_upper,n_seeds
MSE,0.25200174016766014,0.0027192975142810902,0.0012161068185957446,0.24961817080321247,0.2543853095321078,5
RMSE,0.5019918808575393,0.002713789041684875,0.0012136433547602782,0.4996131398822092,0.5043706218328695,5
MAE,0.3906112843441585,0.005470954271632808,0.0024466851306327616,0.3858157814881183,0.3954067872001987,5
R2,0.26608850922750765,0.007919483775120724,0.003541700813575319,0.2591467756329,0.2730302428221153,5
best_val_loss,0.2629931280708313,0.0029053835609250305,0.001299327028587754,0.2604464470947993,0.2655398090468633,5
