metric,mean,sd,se,ci95_lower,ci95_upper,n_seeds
MSE,0.27249423323648264,0.0030134987644272874,0.0013476776174742079,0.2698527851062332,0.2751356813667321,5
RMSE,0.5220034266373815,0.0028844010024670482,0.0012899433431769716,0.5194751376847546,0.5245317155900084,5
MAE,0.417074761506283,0.003731768158309031,0.001668897455649638,0.4138037224932097,0.42034580051935627,5
R2,0.1831100091814663,0.009033941558199119,0.00404010148577872,0.17519141026934001,0.1910286080935926,5
best_val_loss,0.3304233872114013,0.0062621513240626705,0.002800519209198889,0.32493436956137145,0.33591240486143115,5
