metric,mean,sd,se,ci95_lower,ci95_upper,n_seeds
MSE,48.328886351603956,0.781575153192735,0.3495310344127534,47.643805524154956,49.013967179052955,5
RMSE,6.951715406678761,0.05633888698228362,0.025195516213812833,6.902332194899688,7.001098618457834,5
MAE,5.466797670958504,0.06086149845641322,0.027218089552207694,5.413450215436177,5.520145126480831,5
R2,0.2928647864152073,0.011435796572357168,0.005114243702529944,0.2828408687582486,0.302888704072166,5
best_val_loss,48.9334557043457,0.7595614789352818,0.33968621999791293,48.26767071314979,49.5992406955416,5
