metric,mean,sd,se,ci95_lower,ci95_upper,n_seeds
Accuracy,0.770391061452514,0.0,0.0,0.770391061452514,0.770391061452514,5
AUROC_macro_ovr,0.6038390058443948,0.0033207004417322317,0.0014850623841253699,0.6009282835715091,0.6067497281172805,5
best_val_loss,0.7272695004536389,0.0004503612302622064,0.00020140766505934577,0.7268747414301227,0.7276642594771552,5
accuracy,0.770391061452514,0.0,0.0,0.770391061452514,0.770391061452514,5
f1,0.6704760326557379,0.0,0.0,0.6704760326557379,0.6704760326557379,5
recall,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,5
sensitivity,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,5
specificity,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,5
brier,0.36966063976287844,0.0006994959602093728,0.0003128241034029291,0.3690475045202087,0.3702737750055482,5
