metric,mean,sd,se,ci95_lower,ci95_upper,n_seeds
MSE,64.95127573954343,2.8782445302800985,1.2871900851146503,62.42838317271872,67.47416830636814,5
RMSE,8.057634599371454,0.17958425096400596,0.08031251856877988,7.9002220629766455,8.215047135766262,5
MAE,6.08099601913998,0.18630643247775552,0.08331876953314718,5.917691230855012,6.244300807424948,5
R2,0.5792013921557977,0.01864722867390393,0.00833929418136649,0.5628563755603194,0.595546408751276,5
best_val_loss,57.89845631158174,2.342029907833264,1.047387615850549,55.84557658451466,59.95133603864882,5
