metric,mean,sd,se,ci95_lower,ci95_upper,n_seeds
MSE,0.3046535513190195,0.016876429542114033,0.007547368734730525,0.2898607085989477,0.3194463940390913,5
RMSE,0.5517836232888766,0.015345373456623856,0.006862659637826372,0.5383328103987369,0.5652344361790164,5
MAE,0.4330775041542611,0.011864179077760712,0.005305822183020743,0.42267809267554046,0.44347691563298175,5
R2,0.5645366433459327,0.024122701425690004,0.010788000037754788,0.5433921632719333,0.5856811234199321,5
best_val_loss,0.2993717917496062,0.01381400183257331,0.006177809427788118,0.2872632852711415,0.31148029822807094,5
