metric,mean,sd,se,ci95_lower,ci95_upper,n_seeds
AUROC,0.8666071900607983,0.0008389429128041908,0.00037518667645436985,0.8658718241749478,0.8673425559466489,5
AUPRC,0.7723002345450332,0.003344150569916399,0.0014955496002655461,0.7693689573285127,0.7752315117615536,5
best_val_loss,0.40248969586118266,0.0019112722548632834,0.0008547469370767209,0.4008143918645123,0.40416499985785304,5
accuracy,0.8275201226523572,0.0026966744498793053,0.0012059894766233952,0.8251563832781753,0.8298838620265391,5
f1,0.6731801273537398,0.009126124824110956,0.0040813270955720815,0.6651807262464184,0.6811795284610611,5
recall,0.597680412371134,0.02327449448946285,0.010408670364076639,0.5772794184575438,0.6180814062847242,5
sensitivity,0.597680412371134,0.02327449448946285,0.010408670364076639,0.5772794184575438,0.6180814062847242,5
specificity,0.924822695035461,0.010728144662366079,0.004797772147500416,0.9154190616263602,0.9342263284445618,5
brier,0.1263498297389795,0.0007420913460323498,0.00033187333904853057,0.1256993579944444,0.12700030148351463,5
