metric,mean,sd,se,ci95_lower,ci95_upper,n_seeds
Accuracy,0.5481110254433308,0.004037693438018874,0.001805711399943007,0.5445718310994425,0.5516502197872191,5
AUROC_macro_ovr,0.8220324004431449,0.0019213585280593913,0.0008592576555779472,0.8203482554382121,0.8237165454480776,5
best_val_loss,1.0961775196110541,0.007378395251855636,0.0032997186696021763,1.0897100710186338,1.1026449682034745,5
accuracy,0.5481110254433308,0.004037693438018874,0.001805711399943007,0.5445718310994425,0.5516502197872191,5
f1,0.48473180546526534,0.010662052628811244,0.004768214891540455,0.47538610427784606,0.49407750665268463,5
recall,0.2861571331703013,0.017074922908307373,0.007636137666708739,0.27119030334355215,0.3011239629970504,5
sensitivity,0.2861571331703013,0.017074922908307373,0.007636137666708739,0.27119030334355215,0.3011239629970504,5
specificity,0.9019154983618958,0.002372593902758173,0.0010610562499137602,0.8998358281120648,0.9039951686117268,5
brier,0.5890127778053283,0.002551481866578914,0.0011410573794057,0.5867763053416932,0.5912492502689635,5
